x,y,z
4187.0,-5894.0,585.0
4164.991239568123,-5857.875087170622,585.8712328725602
4108.0,-5770.0,588.0
4074.96090624925,-5722.855633903571,588.9533675130865
4037.0,-5670.0,590.0
3970.815156006625,-5579.820396935214,592.1617549132222
3936.0,-5540.0,593.0
3810.1527218711967,-5407.89552477602,595.459532011386
3782.0,-5379.0,596.0
3688.856474363907,-5290.569016291073,598.1830168237418
3613.0,-5257.0,600.0
3435.0,-5181.0,604.0
3405.50666171168,-5170.154956657184,604.7698406360385
3335.90343627847,-5154.3978336584605,607.159135749728
3283.0,-5149.0,609.0
3123.0,-5135.0,614.0
3047.469182873222,-5131.358681855069,616.2392915552562
2992.0,-5127.0,618.0
2927.4375242085775,-5117.849251265848,620.2782578789561
2792.5238238159723,-5088.164714310756,625.6542282708059
2701.0,-5060.0,630.0
2623.6397899166277,-5020.995626914215,634.9700042570738
2608.0,-5011.0,636.0
2545.0787381550035,-4968.080384180527,639.8831211879349
2481.0,-4914.0,644.0
2373.2231189659133,-4783.216516165491,652.3323339666978
2320.0,-4703.0,657.0
2285.480256288641,-4632.806364853326,660.6686308811635
2263.0,-4558.0,664.0
2237.562801634198,-4468.475529785035,667.891038578917
2191.0,-4302.0,675.0
2170.594952179239,-4231.569157301386,677.7836738822496
2158.0,-4188.0,680.0
2118.0,-4046.0,688.0
2114.041253992505,-4032.124682701272,688.6776458339604
2082.0,-3935.0,693.0
2063.910215604712,-3895.511206672481,695.2046774659253
1973.0,-3743.0,705.0
1908.0519947476942,-3668.1457608712917,709.1815569187736
1839.0906334424708,-3610.207745320578,712.5572654768207
1831.0,-3604.0,713.0
1735.7543738815575,-3538.2350509087473,718.5190972185478
1727.0,-3533.0,719.0
1626.0,-3482.0,724.0
1555.3209094003128,-3454.778531921995,726.9828697646909
1507.0,-3441.0,729.0
1418.150353792682,-3423.8766640221756,732.8826200321669
1297.5151643217325,-3409.9907821386114,738.4014819731683
1264.0,-3407.0,740.0
1189.1854401695696,-3403.8675027757267,743.8759703503973
1001.0,-3392.0,750.0
